作者,看板,標題,時間,分數,內容
Superman007 (),movie,[預知雷] 蜘蛛人未來劇情大破解！,Wed Aug 21 13:25:16 2019,-1,"
先講產業部分

漫威（迪士尼）跟索尼購買蜘蛛人部分版權

讓索尼跟漫威（迪士尼）共享蜘蛛人版權

造成索尼可以拍蜘蛛人的加菲（驚奇系列）

漫威繼續拍蜘蛛人的荷蘭弟（日系列）



對於索尼來說好處是什麼？

就是貫徹新宇宙的多元蜘蛛






以下有雷，請斟酌觀看







按照目前進度未來四年應該是不會有荷蘭弟蜘蛛人系列，預估至少五年左右，含第四階段
跟拍攝宣傳到正式上映。

在這期間索尼可以先拍一部加菲的驚奇系列第三集，把之前的梗都用上，讓觀眾比較能快
速帶入，然後在片尾埋下彩蛋，可以跟新宇宙結合，證實真人版也會有多元宇宙的產生。

預估三年內出

然後四到五年後漫威推出荷蘭弟蜘蛛人第三集

內容接續五年前的第二集蜘蛛人在最後被公布身份的時候所造成的一連串風波，在所有敵
人都知道蜘蛛人的真面目後，一起圍攻，如同PS4蜘蛛人被圍攻的樣子，在最緊要的關頭
時，就在大家面前蜘蛛人要被揭開真面目示人時，這時候有一個背影走出來，沒錯，就是
加菲蜘蛛人，讓大家一陣驚呼，等等，蜘蛛人...有兩個！？瞬間破解神秘法師的計謀，
然後...等等，後面又多出好幾個蜘蛛人，就是新宇宙的蜘蛛人們都出現了，彼得帕克 ..
. 是誰？有好多個彼得帕克啊！

然後最後大家一起打敗敵人，加菲跟荷蘭弟也變成好朋友，至於這個要如何穿梭空間，可
能就要看量子力學的皮姆跟浩克去想辦法了。

也因為多元宇宙的產生，新鋼鐵人，新美國隊長，新快銀，新黑寡婦都可以依依現身，再
度集結於漫威的殿堂。


這豈不美哉？

如有暴雷使劇情相同純屬巧合，希望2024年的各位不會回來罵這篇太準了，以上！

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 223.137.132.155 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566365118.A.C79.html
"
BleedWang (),movie,Re: [討論] 索尼自己拍蜘蛛人肯定票房不會高,Wed Aug 21 13:30:14 2019,-4,"
如果索尼真要這麼白目 硬收回來的話

接下來自己拍的作品 不只票房不會高

而且一定被觀眾抵制到死

變成下一個驚奇四超人或黑鳳凰

這個機率非常高

你想想看 如果你開一家餐廳

上餐點給客人 客人剛開始吃 反應很好

結果你這家餐廳沒讓客人吃完

就把客人轟出去鎖上大門

這家餐廳的下場會是什麼？？

我是認為這是在炒新聞

索尼的高層沒那麼白癡啦



-----
Sent from JPTT on my OPPO CPH1707.

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 110.50.139.61 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566365416.A.331.html
"
alznn (宮本),movie,[贈票] ,Wed Aug 21 13:37:20 2019,1,"

轉贈桃園電影節 殺手寓言的票2 張，
08/23   21：00 SBC 星喬國際影城 2 廳

因家裡臨時有去去不了，故贈出，

同步張貼於中壢版，

擔心來信眾多，先站內先贏，恕不一一回覆~

-----
Sent from JPTT on my HMD Global Nokia 6.1 Plus.

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 114.136.171.164 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566365844.A.297.html
"
t13thbc (the 13th black cat),movie,[討論] 局外人看索尼和迪士尼關於蜘蛛人的談判,Wed Aug 21 13:38:54 2019,13,"
早上因為這個消息 電影板和C洽板都炸開了
明明只是媒體的爆料 也沒正式新聞稿 就引發一連串討論了
而目前也只有索尼的官方聲明

索尼官方聲明傳送門
 #1TNCS3ES (movie)
https://www.ptt.cc/bbs/movie/M.1566361347.A.39C.html


看起來也只是說 因為迪士尼不讓凱文費吉再接下來的蜘蛛人電影擔任製作人
索尼覺得失望

是不是不繼續合作 也講的很曖昧 一切都沒說死就還有其他可能



但我最看不慣的是 說索尼或迪士尼貪婪 說兩邊會虧死 說漫威接下來的第四階段會炸掉
說蜘蛛人又要被玩爛



怎麼消息還沒說死 就冒出很多精算師幫忙計算損益 或是很多預言家 斷言誰會爆死




誰虧不虧損 明明就很難說
而且這些大公司 難道會如板眾所想如此短視?
或著該說如果真的預測會虧損 真的會放棄這合作計畫 而不繼續重啟談判?


至於第四階段 或是索尼自己的規劃 哪邊會爆死還真的難說


畢竟 漫威被看衰很多次了 從GOTG就預測漫威即將走下坡 說大家膩了疲軟了
GOTG沒幾個角色是大眾認識的 結果電影上映以後 該說現在漫威隨便端個什麼東西
出來都大賣

第四階段又一堆人看衰了 我不想當預言家 我只等上映了再說




至於索尼會不會搞爛蜘蛛人 天曉得 現在猛毒成功得打出自己的一片天
再讓蜘蛛人跟猛毒合作 搞聯動也不是不行


有太多可能性了 怎麼會少哪邊哪邊就倒或是虧損




至於貪婪 吃相難看 哪家公司談合約不是以己方利益最大化為前提去談的?
談得攏就合作 談不攏就再談 再不行就別合作 商業之間的動作不就如此

真的不合作了 有什麼損失也是各自要承擔的
真的損失承擔不了 再談合作也不是不可能 不是嗎



--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 123.194.21.146 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566365937.A.C4D.html
"
EthanWake (Ash),movie,Re: [討論]我知道怎麼幫漫威解套了!,Wed Aug 21 13:39:42 2019,-3,"
※ 引述《area41gold (area41gold在炫耀？哥單s)》之銘言：
: 剛好想到
: 漫威跟sony如此這般分裂
: 此時蜘蛛人處於很尷尬的局面
: 不如讓劇情就是蜘蛛人進化怎樣
: 變成某某人
: 這樣可以創造新英雄或是如何
: 讓蜘蛛人正式退場
: 如何
: -----
: Sent from JPTT on my Samsung SM-N960F.

好險離家日漫威留了一手

讓新戰衣用新名字出道

以後就是Night Monkey的時代了

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 114.44.192.55 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566365984.A.02F.html
"
carol801223 (介介),movie,[討論] 適合國中生的親情喜劇片,Wed Aug 21 13:43:59 2019,19,"





最近上課想讓學生輕鬆一下(學生年齡層在國二)
因此想選部電影讓他們看

目前是想讓他們看一些有親情喜劇相關的片
例如 命運好好玩 之類的
(沒選這部的原因是因為我看很多次了，而且我每看必哭 哈哈哈)

請求大大們推薦類似的電影><







-----
Sent from JPTT on my Samsung SM-N950F.

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 49.214.209.183 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566366245.A.AB5.html
謝謝各位推薦我這些好片^^
※ 編輯: carol801223 (49.214.209.183 臺灣), 08/21/2019 17:18:15
"
awhat (La Mer),movie,[討論] 蜘蛛人跟迪士尼分手後下一部片名該叫什麼,Wed Aug 21 13:53:22 2019,41,"
如果最後消息屬實

蜘蛛人離開MCU

下一部片名該怎麼取好呢?

第一部叫Spiderman-Homecumming

第二部叫Spiderman-Far from home

第三部沒有MCU的家了，該怎麼取最貼切呢??

Spiderman-Homeless?????


其實新宇宙拍得很好

如果第三部把Miles Morales融入，我一定十刷

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 61.216.78.139 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566366805.A.81A.html
"
CYKONGG (CYKONGG),movie,[新聞] 索尼聲明：對迪士尼決策失望並感謝費吉,Wed Aug 21 14:02:23 2019,70,"
索尼聲明證實《蜘蛛人3》與漫威無關！首曝「分家原因」：我們很失望


https://i.imgur.com/NuvFARi.jpg

〔 前情：根據外媒《Deadline》報導，迪士尼、索尼談判破局的原因，一切都跟錢有關
。迪士尼要求未來《蜘蛛人》電影票房為兩方50、50分潤，甚至可能延伸到「蜘蛛人」湯
姆霍蘭德出現在其他「索尼漫威宇宙」（註：《猛毒》、《莫比亞斯》等片）電影當中也
要考慮分潤，當然是遭到索尼拒絕。〕

而索尼隨後發表聲明是迪士尼的決策：


蜘蛛人（Spider-Man）驚爆退出漫威電影宇宙（MCU），震驚各界。消息爆發6小時之後，
索尼影業發出聲明證實：「我們很失望，尊重迪士尼的決定，漫威總裁凱文費吉將不再擔
任下一部《蜘蛛人》電影的製作人。」


索尼影業透過權威媒體《好萊塢報導》發布聲明：「今天關於『蜘蛛人』的新聞，很多關
於凱文費吉參與製作的錯誤描述」、「我們很失望，但尊重迪士尼的決定，漫威總裁凱文
費吉將不再擔任下一部《蜘蛛人》電影的製作人。」

聲明中，索尼影業指出迪士尼收購福斯之後，擁有原來福斯握有的《X戰警》、《驚奇4超
人》等角色，凱文費吉工作量暴增，「明白他現在有太多新的職責，不太有時間去經營不
在他們手中的版權。凱文非常棒，我們很感謝他的幫助與指導，謝謝他帶領《蜘蛛人》走
向正軌，我們將繼續前進。」


事實上，「蜘蛛人」湯姆霍蘭德在2016年《美國隊長3：英雄內戰》加入漫威電影宇宙之
後，推出兩部個人電影，《蜘蛛人：返校日》全球票房8.8億美金，而《蜘蛛人：離家日
》至今全球票房11.09億美金，不僅是《蜘蛛人》影史最賣座電影，更是索尼影業影史最
賣座電影。


https://star.ettoday.net/news/1517853


不過《Variety》指出雙方目前僅是談判陷入僵持，聲明中也是指「下一部」蜘蛛人電影
，而《IGN》則是認為兩方目前仍在談判中，未來仍有可能改變。


--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 101.9.180.155 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566367345.A.C21.html
※ 編輯: CYKONGG (101.9.180.155 臺灣), 08/21/2019 14:12:18
"
jeanvanjohn (尚市長),movie,Re: [閒聊] 關於押井守,Wed Aug 21 14:05:13 2019,2,"
※ 引述《nanachi (上善若水)》之銘言：
: ※ [本文轉錄自 C_Chat 看板 #1TLdGQ8Q ]
: 作者: nanachi (上善若水) 看板: C_Chat
: 標題: [閒聊] 關於押井守
: 時間: Fri Aug 16 17:15:04 2019
: 前一陣子看了攻殼機動隊1995年版，這部在
: 劇情、作畫、內涵等都可以說是日本動畫史
: 中的經典，但其票房表現並不佳，而押井守
: 許多的大螢幕作品，也往往是如此，是因為
: 其表現手法，要在商業上成功不易嗎？還是
: 這類題材本來就小眾的緣故？

不要再提押井守了，這個人噁心到了極點...


之前講過這個故事:

1980年代的時候，一群動畫工作者--結城正美、伊藤和典、高田明美、出淵裕等人，
合力創辦了Headgear工作室，也創出了代表性的作品""機動警察""；

之後押井守導演了劇場版，就把整個機動警察的IP占為己有，
把Headgear其他人的功勞全部抹煞，好像這是他一個人的作品...


如果事情只到此為止那還好，問題是後面還有更噁心的:

押井守趕走Headgear的成員、獨占機動警察之後，
他搞了一個""新特車二課""，裡面的成員都故意把名字取得很像舊成員!

比方說原來的主角叫做""泉 野明""(Izumi Noa)，
押井守就故意設了一個新主角，名字叫做""泉野 明""(Izmumino Akira)；
然後大家都喜歡的課長，國家的番犬後藤喜一，
他就故意設了一個新課長叫""後藤田""......


到最後，Headgear的""前""成員全都受不了押井守這種惡劣行徑，
於是集體投靠庵野秀明，開始重拍""原汁原味的機動警察""(連川井憲次都跳槽過去了):

https://www.patlabor-reboot.jp/

(當然高田明美沒過去，不過那是因為她和伊藤分手的緣故)


把別人的功勞占為己有，然後再恣意妄為惡搞，
押井守不過就是動畫界裡的郭公罷了。


--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 111.184.32.12 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566367516.A.6D1.html

https://tinyurl.com/y2ukq4e5

有啊，看這本他自己寫的特車二課原始劇本(在真人版上檔之前寫成)就知道了.

※ 編輯: jeanvanjohn (111.184.32.12 臺灣), 08/21/2019 16:24:04
"
justice00s (The Black Swordsman),movie,[討論] 索尼直接在續集殺掉霍蘭蜘蛛人會怎樣?,Wed Aug 21 14:08:42 2019,10,"
如題


霍蘭蜘蛛人的故事七八成都跟鋼鐵人有關

現在迪士尼跟索尼決裂

索尼如果覺得處理故事麻煩

直接學新宇宙

在續集開場直接讓霍蘭蜘蛛人被反派凌虐致死

讓一個黑人接班


粉絲會接受嗎?

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 58.158.213.18 (日本)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566367725.A.615.html
"
area41gold (area41gold在炫耀？哥單s),movie,[討論]DC應該開始介入爭取蜘蛛人如何?,Wed Aug 21 14:08:48 2019,-2,"

剛好想到

DC看到這情況

應該開始愜意偷笑

此時DC應該爭取蜘蛛人版權

成為第一個跨越DC 漫威的腳色

如何?

-----
Sent from JPTT on my Samsung SM-N960F.

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 223.136.253.46 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566367730.A.AA5.html
"
shen0348 (臺中阿湯哥),movie,[討論] 好小男孩 首支預告,Wed Aug 21 14:11:05 2019,5,"
https://youtu.be/D0I4ul3270w

今年才十二歲大的小六生麥斯（雅各特倫布雷 飾）第一次受邀參加喇舌趴，結果被嚇到
差點剉賽，因為他根本就不會喇舌，更別說親吻女生了。

為了偷學步，麥斯和他的兩個好麻吉索爾（布萊迪努恩 飾）和盧卡斯（基斯威廉斯 飾）
就決定偷用麥斯老爸不准他碰的無人機，偷拍住在他家隔壁，正在喇舌的一對青少年情侶
。

但是當事情出了天大的差錯，麥斯老爸的寶貝無人機全毀之後，這三個小六生為了趕在麥
斯老爸回家之前找到一個替代品，於是就決定翹課，從此展開一場驚險刺激的冒險之旅。
他們做出一些糟糕的決定，害他們不小心偷走一些毒品、跟一群兄弟會大學生玩漆彈遊戲
，並且急著逃離警察杯杯和兩個可怕的青少女（莫莉戈登和蜜朵莉法蘭西斯分別飾演）的
追逐。

《好小男孩》一片由環球影業暨Good Universe電影公司出品，製片包括Point Grey Pict
ures的塞斯羅根和伊凡戈博，以及詹姆斯威佛（《惡鄰纏身》系列電影），劇本來自李艾
森柏格與吉恩斯普尼斯基，李艾森柏格也是其中一名製片，吉恩斯普尼斯基則是這部電影
的導演。

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 49.216.172.165 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566367867.A.DD8.html
※ 編輯: shen0348 (49.216.172.165 臺灣), 08/21/2019 14:11:36
"
